Date,Week,DistanceMiles,TimeMinutes,Speed,AverageHeartRate,MarathonTime,Comment
5 May 19,,9.5,90.6,,160,,
4 May 19,18,8.1,77.7,6.25,164,251.5,Interval Hills
3 May 19,18,3.92,36.8,6.39,158,246.1,Watch Outdoors
2 May 19,18,3.42,32.8,6.26,155,251.5,Watch Outdoors
28 Apr 19,17,9.26,88,6.31,162,249.2,Watch Outdoors
27 Apr 19,17,8,78.2,6.14,155,256.3,Interval Hills
26 Apr 19,17,3.6,34.7,6.22,151,252.7,
25 Apr 19,17,3.5,33.6,6.25,156,251.7,Interval
24 Apr 19,17,3,31.5,5.71,152,275.3,Hills
21 Apr 19,16,8,75,6.40,158,245.8,
20 Apr 19,16,7.3,67.8,6.46,158,243.5,Break
19 Apr 19,16,6.3,62.2,6.08,155,258.9,Break
14 Apr 19,15,9.54,97.9,5.85,166,269.1,Watch Outdoors
13 Apr 19,15,6,57.1,6.30,163,249.5,
11 Apr 19,15,3.2,32.6,5.89,149,267.1,
10 Apr 19,15,3.1,30.3,6.14,155,256.3,
9 Apr 19,15,3.2,31.7,6.06,153,259.7,
8 Apr 19,15,3,29,6.21,156,253.5,
7 Apr 19,14,5.46,51,6.42,177,244.9,Watch Outdoors
6 Apr 19,14,7,67.9,6.19,161,254.3,
5 Apr 19,14,3,31,5.81,149,270.9,
26 Mar 19,13,3.1,29.8,6.24,156,252.1,Break
25 Mar 19,13,4.5,43,6.28,155,250.5,
24 Mar 19,12,3.3,33.8,5.86,161,268.6,
22 Mar 19,12,4,42,5.71,154,27.5,
17 Mar 19,11,9.03,84.3,6.43,163,244.8,Watch Outdoors
16 Mar 19,11,6,59.3,6.07,153,259.1,
15 Mar 19,11,3.5,34.6,6.07,158,259.2,
10 Mar 19,10,6,58.4,6.16,167,255.2,
8 Mar 19,10,3.5,35.4,5.93,156,265.2,Hills
3 Mar 19,9,10,99.2,6.05,159,260.1,Hills
1 Mar 19,9,4,40.2,5.97,,263.5,Hills
24 Feb 19,8,4.4,40.6,6.50,168,241.9,
23 Feb 19,8,7,73.1,5.75,161,273.8,Hills
18 Feb 19,8,5.6,56.5,5.95,164,264.5,Hills
17 Feb 19,7,6.3,64,5.91,161,266.4,
16 Feb 19,7,5,49,6.12,158,257.0,
10 Feb 19,6,9.74,90.2,6.48,167,242.8,Watch Outdoors
9 Feb 19,6,4,40,6.00,152,262.2,
8 Feb 19,6,4.2,41.7,6.04,157,260.3,Hills
3 Feb 19,5,8.4,79.4,6.35,174,247.8,Watch Outdoors
2 Feb 19,5,3.6,37.3,5.79,147,271.7,Hills Break
1 Feb 19,5,3.2,32.6,5.89,156,267.1,Hills
27 Jan 19,4,3.3,31.9,6.21,151,253.5,Break
26 Jan 19,4,4.5,44.2,6.11,147,257.5,
25 Jan 19,4,3.2,32.9,5.84,149,269.6,Break
21 Jan 19,4,4,40,6.00,151,262.2,
20 Jan 19,3,3.8,38,6.00,152,262.2,
19 Jan 19,3,8.01,76.6,6.27,172,250.7,Watch Outdoors
18 Jan 19,3,3.5,36.2,5.80,143,271.2,
13 Jan 19,2,4.95,45.3,6.56,170,240.0,Watch Outdoors
12 Jan 19,2,6.5,67.1,5.81,159,270.7,
11 Jan 19,2,4,38.8,6.19,152,254.3,
9 Jan 19,2,3.1,28.7,6.48,160,242.7,
6 Jan 19,1,8.82,83.8,6.32,169,249.1,Watch Outdoors
5 Jan 19,1,3,30,6.00,147,262.2,
16 Dec 18,50,10,100.5,5.97,165,263.5,Break
15 Dec 18,50,3.4,34.5,5.91,154,266.1,Break
9 Dec 18,49,3.5,34.5,6.09,163,258.5,
8 Dec 18,49,4,40.00,6.00,156,262.2,
7 Dec 18,49,4.7,47.00,6.00,,262.2,
2 Dec 18,48,3.5,34.3,6.12,155,257.0,
1 Dec 18,48,5.1,49.8,6.14,157,256.0,
29 Nov 18,48,3.1,30.8,6.04,145,260.5,
25 Nov 18,47,7.41,64.7,6.87,168,228.9,Watch Outdoors
24 Nov 18,47,7,69.8,6.02,157,261.5,
18 Nov 18,46,4.1,40.8,6.03,161,260.9,
17 Nov 18,46,5.2,52.5,5.94,159,264.7,Break
13 Nov 18,46,2.5,23,6.52,154,241.2,
10 Nov 18,45,3.3,33.6,5.89,145,267.0,Break
4 Nov 18,44,26.2,279.9,5.62,,280.1,Marathon
3 Nov 18,44,2,21.8,5.50,144,285.8,
31 Oct 18,44,4,40.5,5.93,145,265.5,
30 Oct 18,44,3,31.58,5.70,147,276.0,Hills
28 Oct 18,43,4,38.6,5.60,157,253.0,
27 Oct 18,43,6.3,67.50,5.60,,280.9,Hills Break
26 Oct 18,43,5.6,59.7,5.63,150,279.5,Hills
25 Oct 18,43,2.5,25.7,5.84,145,269.5,
24 Oct 18,43,4.05,43.39,5.60,145,280.9,Hills
23 Oct 18,43,3.2,34.91,5.50,144,286.0,Hills
21 Oct 18,42,3,32.8,5.49,146,286.7,Hills
20 Oct 18,42,16.76,161.8,6.22,169,253.1,Watch Outdoors
17 Oct 18,42,3.3,34.2,5.79,148,271.7,Hills
16 Oct 18,42,3.2,30.4,6.32,147,249.1,
14 Oct 18,41,13.1,125,6.29,161,250.2,Outdoors
13 Oct 18,41,5.2,51.4,6.07,154,259.2,
12 Oct 18,41,5.5,57.1,5.78,150,272.2,
11 Oct 18,41,3,30.1,5.98,152,263.1,
10 Oct 18,41,3,30.9,5.83,148,270.1,
5 Oct 18,40,1.8,20.6,5.24,148,300.1,
4 Oct 18,40,3.36,34.6,5.83,157,270.0,
3 Oct 18,40,3.11,32.5,5.74,151,274.0,
2 Oct 18,40,3.79,40.5,5.61,157,280.2,
30 Sep 18,39,3.42,38,5.40,153,291.3,Break
29 Sep 18,39,1.86,20,5.58,153,281.9,
26 Sep 18,39,3.25,34.7,5.62,146,279.9,
23 Sep 18,38,10.2,110.1,5.56,143,283.0,
22 Sep 18,38,10.4,112.3,5.56,148,283.1,
21 Sep 18,38,5.1,55.9,5.47,146,287.4,Break
19 Sep 18,38,3.2,35.7,5.38,147,292.5,
18 Sep 18,38,3.1,31.6,5.89,152,267.3,
16 Sep 18,37,18,190.0,5.68,161,276.8,Hills Break Outdoors
14 Sep 18,37,6.2,65.9,5.64,154,278.7,Hills
13 Sep 18,37,3.2,34.1,5.63,149,279.4,
12 Sep 18,37,3.3,33.7,5.88,153,267.8,
11 Sep 18,37,3.7,39.6,5.61,155,280.6,Hills
9 Sep 18,36,8,73.1,6.57,160,239.6,Break
8 Sep 18,36,7.05,74.5,5.68,155,277.1,Hills
7 Sep 18,36,6.4,67.4,5.70,152,276.1,Break
6 Sep 18,36,2.65,28.7,5.54,148,284.0,
4 Sep 18,36,2.3,25.8,5.35,147,294.1,
3 Sep 18,36,8.3,87.3,5.70,151,275.8,
2 Sep 18,35,2.35,23.1,6.10,151,257.7,
1 Sep 18,35,6.8,70.0,5.83,156,269.9,
31 Aug 18,35,4.2,40.7,6.19,151,254.1,Break
30 Aug 18,35,4.8,50.2,5.74,149,274.2,Hills
29 Aug 18,35,6.3,63.5,5.95,154,264.3,
28 Aug 18,35,8.6,87,5.93,153,265.2,
27 Aug 18,35,3.02,30.7,5.90,151,266.5,
26 Aug 18,34,7.11,76.2,5.60,154,280.9,
25 Aug 18,34,6,61.54,5.85,,268.9,
24 Aug 18,34,2.5,25.7,5.84,153,269.5,
22 Aug 18,34,3,30.1,5.98,157,263.1,
16 Aug 18,33,4,41.2,5.83,149,270.1,
14 Aug 18,33,3.5,37.4,5.61,148,280.2,
12 Aug 18,32,15,164.6,5.47,169,287.7,Hills Outdoors
10 Aug 18,32,5.5,56.6,5.83,148,269.8,
7 Aug 18,32,3,31.6,5.70,151,276.2,
5 Aug 18,31,11,112.4,5.87,158,267.9,
4 Aug 18,31,5.5,60.00,5.50,,286.0,
3 Aug 18,31,5.5,57.7,5.72,149,275.1,
2 Aug 18,31,4,41.2,5.83,148,270.1,
1 Aug 18,31,2.5,26.2,5.73,150,274.8,
31 Jul 18,31,3.2,36.8,5.22,150,301.5,
29 Jul 18,30,13.5,150.3,5.39,153,291.9,
28 Jul 18,30,5,52.5,5.71,154,275.3,
27 Jul 18,30,4.2,48.4,5.21,144,302.2,
26 Jul 18,30,5.5,55.2,5.98,151,263.2,
24 Jul 18,30,4.5,45.8,5.90,151,266.9,
22 Jul 18,29,6,61.6,5.84,159,269.2,
21 Jul 18,29,12,126.7,5.68,165,276.8,Hills Outdoors
18 Jul 18,29,4,42.11,5.70,,276.0,
17 Jul 18,29,4,41.2,5.83,152,270.1,
15 Jul 18,28,10,111.6,5.38,162,292.6,
14 Jul 18,28,4.5,45.6,5.92,154,265.7,
13 Jul 18,28,3.5,37.3,5.63,155,279.4,
10 Jul 18,28,3.1,37.20,5.00,,314.6,
6 Jul 18,27,3,31.1,5.79,150,271.8,
1 Jul 18,26,10,107.14,5.60,161,280.9,
30 Jun 18,26,9.25,97.37,5.70,,276.0,
29 Jun 18,26,3.5,42.5,4.94,149,318.4,
28 Jun 18,26,4.5,46.4,5.82,152,270.4,
27 Jun 18,26,4,37.5,6.40,159,245.8,
